"year","corn_base_yield_alt","corn_cost_alt","corn_cost_add_alt","soy_base_yield_alt","soy_cost_alt","soy_cost_add_alt","wheat_base_yield_alt","wheat_cost_alt","wheat_cost_add_alt","corn_cost_odt","soy_cost_odt","wheat_cost_odt","hay_cost_odt","corn_cost_add_odt","soy_cost_add_odt","wheat_cost_add_odt","hay_cost_add_odt","corn_base_odt","soy_base_odt","wheat_base_odt","hay_base_odt"
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.83,167.5,151.98,138.26,0.92,0.49,0.87,24.83,100,30,50,2
2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.7,168.14,153.67,134.5,0.91,0.49,0.81,23.98,100,35,50,2
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.39,174.44,156.68,133.8,0.9,0.5,0.84,24.23,100,35,50,2
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.12,175.21,159.01,131.89,0.72,0.57,0.86,22.75,117,36,52,2
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.65,189.1,170.16,NA,0.83,0.66,1.14,NA,118,36,52,NA
2011,112,345.56,1.01,36,223.23,1.03,51,209.49,1.43,300.98,204.6,192.94,NA,0.84,0.77,1.19,NA,110,35,51,NA
2012,114,366.08,1.04,36,231.09,1.09,51,215.26,1.05,350.71,227.51,211.52,NA,0.9,0.93,1.41,NA,114,36,51,NA
2013,118,405.25,1.11,36,252.13,1.26,52,235.79,1.31,391.9,248.69,230.62,NA,1.04,1.12,1.61,NA,118,36,52,NA
2014,120,452.42,1.26,36,279.22,1.47,52,265.47,1.46,437.85,275.21,255.48,NA,1.18,1.27,1.8,NA,120,36,52,NA
2015,124,509.97,1.42,36,316.27,1.4,54,300.96,1.48,516.99,325.42,296.98,NA,1.36,1.24,1.77,NA,124,36,54,NA
2016,125,523.07,1.41,37,327.69,1.18,55,313.03,1.3,524.47,336.33,323.52,NA,1.38,1.07,1.64,NA,125,37,55,NA
2017,127,534.21,1.44,37,339.15,1.06,56,327.1,1.56,538.78,347.1,336.21,NA,1.45,1.05,1.62,NA,127,37,56,NA
2018,129,534.21,1.44,38,339.15,1.1,58,327.1,1.56,529.28,346.26,330.53,NA,1.44,0.94,1.49,NA,129,38,58,NA
2019,131,528.08,1.43,39,334.32,0.95,59,314.42,1.42,517.63,338.54,319.08,NA,1.43,0.9,1.41,NA,131,39,58,NA
2020,132,515,1.42,40,328.97,0.9,59,305.31,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
